,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
1721,land-rover,discovery,5199,2000,with mileage,400000,diesel,2500,burgundy,auto,all-wheel drive,J
1725,mercedes-benz,g-klass,27000,2002,with mileage,187000,petrol,5000,black,auto,all-wheel drive,J
1726,ford,escape,13700,2015,with mileage,100000,petrol,1600,gray,auto,front-wheel drive,J
1731,uaz,patriot,8500,2012,with mileage,73000,diesel,2300,black,mechanics,part-time four-wheel drive,J
1732,audi,q5,20800,2013,with mileage,105000,petrol,2000,red,auto,all-wheel drive,J
1733,jeep,cherokee,7000,2000,with mileage,362000,diesel,2500,green,mechanics,part-time four-wheel drive,J
1735,bmw,x6,15000,2008,with mileage,148000,petrol,4400,white,auto,all-wheel drive,J
1736,audi,q7,8990,2006,with mileage,243000,petrol,4200,black,auto,all-wheel drive,J
1749,volkswagen,touareg,11900,2008,with mileage,247000,diesel,2500,black,auto,all-wheel drive,J
1752,chevrolet,captiva,11500,2007,with mileage,151000,petrol,3200,black,auto,part-time four-wheel drive,J
1758,toyota,rav4,13000,2010,with mileage,232000,petrol,2000,silver,auto,part-time four-wheel drive,J
1761,hyundai,ix35,12990,2011,with mileage,201000,diesel,1700,white,mechanics,front-wheel drive,J
1773,lexus,rx,8500,2004,with mileage,217260.9,petrol,3300,other,auto,front-wheel drive,J
1795,mazda,cx-7,10400,2009,with mileage,133000,petrol,2300,white,auto,all-wheel drive,J
1807,nissan,x-trail,7850,2005,with mileage,220000,diesel,2200,blue,mechanics,part-time four-wheel drive,J
1809,volvo,xc60,25050,2014,with mileage,83000,diesel,2400,white,auto,part-time four-wheel drive,J
1819,nissan,qashqai,11700,2011,with mileage,140000,petrol,2000,purple,auto,front-wheel drive,J
1820,luaz,969,599,1976,with mileage,20000,petrol,1200,orange,mechanics,part-time four-wheel drive,J
1821,nissan,qashqai-2,10699,2009,with mileage,82000,petrol,2000,black,auto,part-time four-wheel drive,J
1824,kia,sportage,15000,2015,with mileage,94200,petrol,2000,other,mechanics,front-wheel drive,J
1825,nissan,qashqai,14000,2016,with mileage,143000,diesel,1500,black,mechanics,front-wheel drive,J
1846,ford,escape,14500,2014,with mileage,83000,petrol,1600,white,auto,,J
1855,mitsubishi,pajero,9000,2006,with mileage,240,petrol,3500,white,auto,part-time four-wheel drive,J
1863,ford,explorer,7999,2003,with mileage,314625.97,petrol,4600,white,auto,part-time four-wheel drive,J
1873,mercedes-benz,gl-klass,21500,2010,with mileage,167000,diesel,3000,other,auto,part-time four-wheel drive,J
1897,porsche,cayenne,48500,2014,with mileage,100250,petrol,4800,black,auto,all-wheel drive,J
1906,bmw,x5,106000,2019,with mileage,7419,diesel,3000,black,auto,all-wheel drive,J
1918,mazda,cx-7,6500,2008,with mileage,175000,petrol,2300,black,auto,part-time four-wheel drive,J
1927,mercedes-benz,m-klass,10900,2006,with mileage,156,petrol,3500,other,auto,part-time four-wheel drive,J
1929,toyota,rav4,6333,2003,with mileage,321868,petrol,2000,silver,auto,all-wheel drive,J
1938,volvo,xc90,16800,2011,with mileage,253000,diesel,2400,black,auto,all-wheel drive,J
1939,bmw,x5,8500,2003,with mileage,330000,petrol,3000,gray,auto,all-wheel drive,J
1940,volkswagen,touareg,9000,2005,with mileage,130000,diesel,2500,black,auto,part-time four-wheel drive,J
1962,mazda,cx-7,11100,2010,with mileage,83200,petrol,2300,white,auto,part-time four-wheel drive,J
1965,volvo,xc60,19300,2012,with mileage,220000,diesel,2400,white,mechanics,part-time four-wheel drive,J
1972,bmw,x5,10500,2004,with mileage,400000,petrol,3000,other,mechanics,all-wheel drive,J
1987,bmw,x3,27990,2015,with mileage,59211,petrol,2000,gray,auto,all-wheel drive,J
1998,mitsubishi,pajero-sport,5704,2001,with mileage,420000,petrol,3000,black,auto,part-time four-wheel drive,J
2005,honda,cr-v,6500,2002,with mileage,220000,petrol,2000,blue,mechanics,part-time four-wheel drive,J
2009,mitsubishi,outlander,9350,2008,with mileage,245000,petrol,2400,silver,auto,part-time four-wheel drive,J
2012,renault,koleos,7800,2008,with mileage,190000,petrol,2500,black,auto,part-time four-wheel drive,J
2021,mercedes-benz,m-klass,13700,2008,with mileage,345000,diesel,3000,silver,auto,all-wheel drive,J
2023,kia,sorento,16447,2010,with mileage,167000,diesel,2200,silver,auto,front-wheel drive,J
2048,volkswagen,touareg,12350,2008,with mileage,214000,petrol,3600,silver,auto,part-time four-wheel drive,J
2049,volkswagen,touareg,36799,2017,with mileage,161000,diesel,3000,brown,auto,all-wheel drive,J
2051,bmw,x5,10500,2004,with mileage,303400,diesel,3000,gray,auto,all-wheel drive,J
2052,kia,sportage,13900,2012,with mileage,140000,diesel,2000,blue,auto,all-wheel drive,J
2063,kia,sorento,14200,2011,with mileage,211000,petrol,3500,gray,auto,all-wheel drive,J
2067,volkswagen,touareg,12000,2006,with mileage,250000,diesel,3000,gray,auto,all-wheel drive,J
2071,mazda,cx-7,6500,2006,with mileage,257494.4,petrol,2300,black,auto,part-time four-wheel drive,J
2093,hyundai,santa-fe,9400,2008,with mileage,108000,diesel,2000,black,mechanics,all-wheel drive,J
2096,renault,espace,1188,1992,with mileage,1111111,petrol,2200,green,mechanics,front-wheel drive,J
2098,mercedes-benz,gl-klass,26900,2012,with mileage,134000,diesel,3000,black,auto,all-wheel drive,J
2101,toyota,rav4,10990,2007,with mileage,149000,petrol,2000,other,auto,all-wheel drive,J
2102,skoda,yeti,10150,2013,with mileage,106000,petrol,1400,gray,auto,front-wheel drive,J
2111,nissan,juke,16555,2017,with mileage,45000,petrol,1600,black,auto,front-wheel drive,J
2114,hyundai,ix35,13300,2015,with mileage,91500,petrol,2000,black,auto,front-wheel drive,J
2119,suzuki,grand-vitara,8700,2007,with mileage,135.18456,petrol,2700,black,auto,all-wheel drive,J
2122,toyota,rav4,22000,2015,with mileage,37000,petrol,2000,other,auto,all-wheel drive,J
2123,toyota,rav4,6450,2004,with mileage,188000,petrol,2400,silver,auto,all-wheel drive,J
2128,opel,mokka,14200,2015,with mileage,45000,petrol,1400,orange,auto,front-wheel drive,J
2129,nissan,qashqai,14750,2016,with mileage,154000,diesel,1500,gray,mechanics,front-wheel drive,J
2130,mitsubishi,pajero,12150,2008,with mileage,251264,diesel,3200,black,auto,part-time four-wheel drive,J
2141,hyundai,santa-fe,19500,2012,with mileage,181,petrol,2400,white,auto,part-time four-wheel drive,J
2152,jeep,grand-cherokee,6100,2002,with mileage,333344,diesel,2700,black,auto,all-wheel drive,J
2162,volkswagen,tiguan,11000,2010,with mileage,259931,diesel,2000,silver,auto,all-wheel drive,J
2173,volvo,xc90,15200,2010,with mileage,219000,diesel,2400,black,auto,part-time four-wheel drive,J
2175,mercedes-benz,glk,23000,2014,with mileage,118000,diesel,2200,black,auto,all-wheel drive,J
2181,bmw,x5,10500,2006,with mileage,210000,petrol,3000,black,auto,part-time four-wheel drive,J
2193,honda,cr-v,10500,2007,with mileage,263000,petrol,2000,black,auto,part-time four-wheel drive,J
2197,mercedes-benz,m-klass,18000,2009,with mileage,238500,petrol,5500,black,auto,all-wheel drive,J
2198,land-rover,freelander,7700,2004,with mileage,300000,diesel,2000,silver,auto,all-wheel drive,J
2206,skoda,yeti,8750,2012,with mileage,110,petrol,1200,gray,auto,,J
2207,bmw,x3,10100,2008,with mileage,145000,petrol,2500,blue,auto,all-wheel drive,J
2210,mitsubishi,outlander,23900,2014,with mileage,64100,petrol,2400,white,auto,part-time four-wheel drive,J
2211,mercedes-benz,glk,19500,2010,with mileage,250000,diesel,2200,gray,auto,all-wheel drive,J
2218,land-rover,freelander,6250,2005,with mileage,312000,diesel,2000,black,mechanics,part-time four-wheel drive,J
2226,land-rover,freelander,10700,2007,with mileage,179400,diesel,2200,gray,mechanics,part-time four-wheel drive,J
2227,nissan,qashqai-2,13200,2011,with mileage,153000,diesel,1500,brown,mechanics,front-wheel drive,J
2228,suzuki,sx4,10999,2014,with mileage,115000,petrol,1600,green,auto,part-time four-wheel drive,J
2229,renault,espace,2850,1997,with mileage,25000,petrol,2000,silver,mechanics,front-wheel drive,J
2230,nissan,x-trail,14000,2012,with mileage,183000,petrol,2500,burgundy,auto,part-time four-wheel drive,J
2243,bmw,x5,21000,2010,with mileage,333,diesel,3000,brown,auto,all-wheel drive,J
2246,subaru,forester,11900,2012,with mileage,167371.36,petrol,2500,blue,auto,all-wheel drive,J
2249,mitsubishi,outlander,14200,2013,with mileage,98500,petrol,2000,black,auto,all-wheel drive,J
2254,jeep,grand-cherokee,4999,1995,with mileage,363710.84,petrol,4000,white,auto,part-time four-wheel drive,J
2258,mercedes-benz,gl-klass,17968,2010,with mileage,188000,diesel,3500,black,auto,part-time four-wheel drive,J
2279,hyundai,santa-fe,16999,2013,with mileage,14100,petrol,2384,black,auto,,J
